image_path,description,label,label_idx
dataset\train\images\00fca0da-2db3-481b-b98a-9b67bb7b105c___RS_HL-7708_JPG.rf.8cb98ddfcf5a1124dbf291573f2dc496.jpg,листья без признаков болезни,healthy,3
dataset\train\images\00fca0da-2db3-481b-b98a-9b67bb7b105c___RS_HL-7708_JPG.rf.d237b0ef5e9630bea70eecf2490f0056.jpg,зеленый лист,healthy,3
dataset\train\images\00fca0da-2db3-481b-b98a-9b67bb7b105c___RS_HL-7708_JPG.rf.f835184f201756b28253a47b4b5cde10.jpg,листья без признаков болезни,healthy,3
dataset\train\images\0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE_S-3079_JPG.rf.0fdd9927c1a415029c275bb2a15a9a24.jpg,Листья с пожелтевшими краями и чёрными пятнами,black_rot,2
dataset\train\images\0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE_S-3079_JPG.rf.1d7612d0cdfbb2eca9091fc7f5b52dcd.jpg,Размягчение тканей листа в зонах поражения,black_rot,2
dataset\train\images\0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE_S-3079_JPG.rf.cc614cf924280b6c1a499ad057644300.jpg,"Жилки листа с изменённым цветом, сопровождаемые пятнами",black_rot,2
dataset\train\images\01efa999-757d-487e-8250-27c7854c0ca8___RS_HL-7515_JPG.rf.346da8fdc2f669587e2acd7047d7b1bd.jpg,листья без пятен и налета,healthy,3
dataset\train\images\01efa999-757d-487e-8250-27c7854c0ca8___RS_HL-7515_JPG.rf.44851db4642e5d73fda07bbb8dbeff8e.jpg,лист без повреждений,healthy,3
dataset\train\images\01efa999-757d-487e-8250-27c7854c0ca8___RS_HL-7515_JPG.rf.a0475254486e75d4c411ba61533c3b95.jpg,листья без пятен и налета,healthy,3
dataset\train\images\02859ed3-f56a-4315-82a5-c1cb72717225___JR_FrgE_S-8584_JPG.rf.2bf447b8af756e33724e32257fd81397.jpg,Жёлтая кайма вокруг тёмных поражённых участков,black_rot,2
dataset\train\images\02859ed3-f56a-4315-82a5-c1cb72717225___JR_FrgE_S-8584_JPG.rf.ae7f50736713e6a99271c0d338896105.jpg,"Жилки листа с изменённым цветом, сопровождаемые пятнами",black_rot,2
dataset\train\images\02859ed3-f56a-4315-82a5-c1cb72717225___JR_FrgE_S-8584_JPG.rf.e3d29a2de1a50cb474d7f27c65adb34e.jpg,Тёмные пятна с неровными краями на поверхности листьев,black_rot,2
dataset\train\images\02a0f44c-9cbe-4a2e-9710-296692635ec6___RS_HL-5789_JPG.rf.316ef338dcefef1e57cc08f23a53a194.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\02a0f44c-9cbe-4a2e-9710-296692635ec6___RS_HL-5789_JPG.rf.7b4c9c62f4e4c95a64ee87cd3069ae42.jpg,лист без повреждений,healthy,3
dataset\train\images\02a0f44c-9cbe-4a2e-9710-296692635ec6___RS_HL-5789_JPG.rf.dd1748efd158998b5588fec882705018.jpg,листья без признаков болезни,healthy,3
dataset\train\images\02cd3257-a42f-4fbc-8056-a41d5aabfbc3___RS_HL-8029_JPG.rf.10345e478caa6c028df268cef2f443a6.jpg,лист без повреждений,healthy,3
dataset\train\images\02cd3257-a42f-4fbc-8056-a41d5aabfbc3___RS_HL-8029_JPG.rf.22321f0adac1da9f1d5490d7241ffd83.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\02cd3257-a42f-4fbc-8056-a41d5aabfbc3___RS_HL-8029_JPG.rf.eb51f0d063e7b0ca89d56649f9e7f17d.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\02d0257a-d21a-43a4-9348-472043df801e___RS_HL-6065_JPG.rf.5e5fc7aa51b5388e031513b92a15c180.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\02d0257a-d21a-43a4-9348-472043df801e___RS_HL-6065_JPG.rf.62e44dbb4e7841803ceab174567f01dc.jpg,листья без пятен и налета,healthy,3
dataset\train\images\02d0257a-d21a-43a4-9348-472043df801e___RS_HL-6065_JPG.rf.984c97c53427fb1f258e3512ffd68aa1.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\02d4dbb4-cf3e-4101-a97d-f9a1885921dc___Rutg__Bact_S-1190-_JPG.rf.45114341139b19d5ef7480dfe69fad0f.jpg,"Мелкие пятна, напоминающие масляные капли",Bacterial_spot,0
dataset\train\images\02d4dbb4-cf3e-4101-a97d-f9a1885921dc___Rutg__Bact_S-1190-_JPG.rf.7d15d115c78b6f1d3b6d614221689301.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\02d4dbb4-cf3e-4101-a97d-f9a1885921dc___Rutg__Bact_S-1190-_JPG.rf.b8603e809d5b11ca1010f874630363c5.jpg,Небольшие тёмные поражения с жирной поверхностью,Bacterial_spot,0
dataset\train\images\02fe229e-2b2e-4e1e-b56f-3af97996bee6___RS_HL-8134_JPG.rf.0a247d69f1ab2dc940cc7d1723d038fe.jpg,листья без пятен и налета,healthy,3
dataset\train\images\02fe229e-2b2e-4e1e-b56f-3af97996bee6___RS_HL-8134_JPG.rf.32c8b154c3057c0c99e874343e354035.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\02fe229e-2b2e-4e1e-b56f-3af97996bee6___RS_HL-8134_JPG.rf.ea43ee71e1c0f2fe5fc537b87539b174.jpg,листья без пятен и налета,healthy,3
dataset\train\images\03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB-3190-_JPG.rf.457adce4bae057f1f405dcb16b9a7a59.jpg,Белёсый налёт плесени на нижней стороне листьев,Late_blight,1
dataset\train\images\03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB-3190-_JPG.rf.a17c0fde381738a4b0acc20560f4b6d9.jpg,Коричнево-чёрные пятна с расплывчатыми границами,Late_blight,1
dataset\train\images\03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB-3190-_JPG.rf.f59f15a7a6374e79ae1c8791e933bb25.jpg,Листья с тёмными зонами и пушистым белым покрытием,Late_blight,1
dataset\train\images\03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL-7460_JPG.rf.051ae057a4e12d6dca7f4f1f2b3c5289.jpg,листья без признаков болезни,healthy,3
dataset\train\images\03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL-7460_JPG.rf.a0652463f09837c19f542f5bdc53bcbd.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL-7460_JPG.rf.e67e728aafab0ba24de6066fad91386b.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\03d420e7-42a1-41d8-9600-16d577043c64___RS_HL-5738_JPG.rf.38e8af297eed87e4e376ce9ab1008875.jpg,листья без пятен и налета,healthy,3
dataset\train\images\03d420e7-42a1-41d8-9600-16d577043c64___RS_HL-5738_JPG.rf.5a8ed3f5457bc3dbf6edb067bcd5f66c.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\03d420e7-42a1-41d8-9600-16d577043c64___RS_HL-5738_JPG.rf.969910dc9e16bc69fe80453719b2c312.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\08ce9666-2dda-4fa8-8d58-55bb9fa19484___RS_LB-3318-_JPG.rf.6bc6cfcb48267c61ebbfc2764a4596cf.jpg,Листья с тёмными зонами и пушистым белым покрытием,Late_blight,1
dataset\train\images\08ce9666-2dda-4fa8-8d58-55bb9fa19484___RS_LB-3318-_JPG.rf.786e257833872e9d848f4b22c28284b1.jpg,Поражения с бледно-зелёной зоной вокруг пятен,Late_blight,1
dataset\train\images\08ce9666-2dda-4fa8-8d58-55bb9fa19484___RS_LB-3318-_JPG.rf.d467cde16b1617727fa804eb33cba149.jpg,Листья с тёмными зонами и пушистым белым покрытием,Late_blight,1
dataset\train\images\09dee4bf-430b-4a0b-832a-ed77213cb9d5___Rutg__Bact_S-2178_JPG.rf.21cf7fb48e55bd17dd39d8e1f77bfa37.jpg,"Мелкие пятна, напоминающие масляные капли",Bacterial_spot,0
dataset\train\images\09dee4bf-430b-4a0b-832a-ed77213cb9d5___Rutg__Bact_S-2178_JPG.rf.52b460fad8fdfa444e852d8eb03c6820.jpg,"Мелкие пятна, напоминающие масляные капли",Bacterial_spot,0
dataset\train\images\09dee4bf-430b-4a0b-832a-ed77213cb9d5___Rutg__Bact_S-2178_JPG.rf.fbb786282e62b286d6659545251f62de.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0a285c8b-1c31-48d4-89f2-af8b9edc36f6___RS_HL-5759_JPG.rf.5789c0346d0cc501389f16df52669605.jpg,лист без повреждений,healthy,3
dataset\train\images\0a285c8b-1c31-48d4-89f2-af8b9edc36f6___RS_HL-5759_JPG.rf.a49c777e2dd2ab6ee158579daf4ae55b.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0a285c8b-1c31-48d4-89f2-af8b9edc36f6___RS_HL-5759_JPG.rf.dc2abea3d8dfcab89dde5ae34f17cd97.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0a553fc0-fc2c-4598-baba-3bc10191447c___RS_HL-5969_JPG.rf.7b535c91f561c3b425a47339a73b8d7c.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0a553fc0-fc2c-4598-baba-3bc10191447c___RS_HL-5969_JPG.rf.932796f9e477a03d081fb0c59b35bb6e.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\0a553fc0-fc2c-4598-baba-3bc10191447c___RS_HL-5969_JPG.rf.e4bbe3cbe7fa6961dadc259142ed5ec0.jpg,листья без признаков болезни,healthy,3
dataset\train\images\0a620811-30ba-42bf-ace2-8888d4db6dcd___Rutg__Bact_S-1782-_JPG.rf.239ad90eccf50aafbfecab29fbe88c69.jpg,Мелкие чёрные пятна с водянистой текстурой и неровными краями,Bacterial_spot,0
dataset\train\images\0a620811-30ba-42bf-ace2-8888d4db6dcd___Rutg__Bact_S-1782-_JPG.rf.73975ab65840db4f30be03617afb5da2.jpg,"Маленькие водянистые пятна, темнеющие со временем",Bacterial_spot,0
dataset\train\images\0a620811-30ba-42bf-ace2-8888d4db6dcd___Rutg__Bact_S-1782-_JPG.rf.e93eaa8c7e0699db3ea68844f172f83a.jpg,"Маленькие водянистые пятна, темнеющие со временем",Bacterial_spot,0
dataset\train\images\0a6adaa8-0fa2-45b0-ade5-f54dfa9032af___Rut__Bact_S-0841-_JPG.rf.17c0929179cbf67d78d28fea27e73978.jpg,"Маленькие водянистые пятна, темнеющие со временем",Bacterial_spot,0
dataset\train\images\0a6adaa8-0fa2-45b0-ade5-f54dfa9032af___Rut__Bact_S-0841-_JPG.rf.51880c5685359ea9e858291592871304.jpg,Коричневато-чёрные отметины с маслянистым блеском,Bacterial_spot,0
dataset\train\images\0a6adaa8-0fa2-45b0-ade5-f54dfa9032af___Rut__Bact_S-0841-_JPG.rf.fb1304028da35ce7e44dc30a5e5c5972.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0a71ba91-8bde-4a91-84a9-bf950488f718___Rutg__Bact_S-2121-_JPG.rf.7fc099022c0e7a48b2cecd32372c91b2.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0a71ba91-8bde-4a91-84a9-bf950488f718___Rutg__Bact_S-2121-_JPG.rf.d9cf9f0c41414f6de1ca9f81d03edc03.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0a71ba91-8bde-4a91-84a9-bf950488f718___Rutg__Bact_S-2121-_JPG.rf.efd0e4de168c58ef16e55059a98181a9.jpg,"Маленькие водянистые пятна, темнеющие со временем",Bacterial_spot,0
dataset\train\images\0acdc2b2-0dde-4073-8542-6fca275ab974___RS_LB-4857-_JPG.rf.7edacdfee531b0252726ebada7c6dd75.jpg,"Плесневой налёт, окружающий коричневые участки",Late_blight,1
dataset\train\images\0acdc2b2-0dde-4073-8542-6fca275ab974___RS_LB-4857-_JPG.rf.8d785c6fc9ddbd69cea738769f884cd0.jpg,Тёмные пятна с серовато-зелёным ореолом,Late_blight,1
dataset\train\images\0acdc2b2-0dde-4073-8542-6fca275ab974___RS_LB-4857-_JPG.rf.b73e42e5773d21b851fa0f4c8724722f.jpg,Тёмные пятна с серовато-зелёным ореолом,Late_blight,1
dataset\train\images\0adc1c5b-8958-47c0-a152-f28078c214f1___RS_HL-7825_JPG.rf.5e3e62da96d5f14088140ef23fa6b840.jpg,зеленый лист,healthy,3
dataset\train\images\0adc1c5b-8958-47c0-a152-f28078c214f1___RS_HL-7825_JPG.rf.906350d1e224ed64fe5b9c4148fbc04e.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0adc1c5b-8958-47c0-a152-f28078c214f1___RS_HL-7825_JPG.rf.db39918fbdbb14b9d399c0d5840617f1.jpg,листья без признаков болезни,healthy,3
dataset\train\images\0b092cda-db8c-489d-8c46-23ac3835310d___RS_LB-4480-_JPG.rf.9339f73752662e8a66dfd63c9c320729.jpg,"Плесневой налёт, окружающий коричневые участки",Late_blight,1
dataset\train\images\0b092cda-db8c-489d-8c46-23ac3835310d___RS_LB-4480-_JPG.rf.a7c55405a50df98d2e5e59621b73a1c2.jpg,Тёмные пятна с серовато-зелёным ореолом,Late_blight,1
dataset\train\images\0b092cda-db8c-489d-8c46-23ac3835310d___RS_LB-4480-_JPG.rf.e0f453c3f72c7bcda0ed83f5b671e95d.jpg,Коричнево-чёрные пятна с расплывчатыми границами,Late_blight,1
dataset\train\images\0b91573d-d0f3-4e57-b7e5-e1924f537f0e___RS_HL-6216_JPG.rf.7fe1de63deeff4030a5f26866e9fbe18.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0b91573d-d0f3-4e57-b7e5-e1924f537f0e___RS_HL-6216_JPG.rf.86172c144878da78cb5ff10e5670f828.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0b91573d-d0f3-4e57-b7e5-e1924f537f0e___RS_HL-6216_JPG.rf.c40fbd9c17a1207c9db798633d55dd7b.jpg,лист без повреждений,healthy,3
dataset\train\images\0bb77fcc-27ca-474f-beae-6b3519727cf9___Rutg__Bact_S-1901-_JPG.rf.0e386bf53b097381c25671ee4b6a21e7.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0bb77fcc-27ca-474f-beae-6b3519727cf9___Rutg__Bact_S-1901-_JPG.rf.390269b918edcf6f5b7ca7a76670bfe8.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0bb77fcc-27ca-474f-beae-6b3519727cf9___Rutg__Bact_S-1901-_JPG.rf.6e3afefc135a99ebe7138a706633618f.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0bc2127e-99b9-44ea-bb2b-4e1b0b0f7624___RS_HL-7777_JPG.rf.4a7620a73f1f97defe46f3edb80a165d.jpg,лист без повреждений,healthy,3
dataset\train\images\0bc2127e-99b9-44ea-bb2b-4e1b0b0f7624___RS_HL-7777_JPG.rf.e122822894a98f3ae7ffe0986b7fd07f.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\0bc2127e-99b9-44ea-bb2b-4e1b0b0f7624___RS_HL-7777_JPG.rf.e39d8420305c1cfd9a49de14818ab41e.jpg,листья без признаков болезни,healthy,3
dataset\train\images\0bff693d-bab0-4438-9dac-e4503e5e83bb___RS_HL-5741_JPG.rf.953c2249fe94442ae6051a3e4b36a16b.jpg,зеленый лист,healthy,3
dataset\train\images\0bff693d-bab0-4438-9dac-e4503e5e83bb___RS_HL-5741_JPG.rf.95cc6cee4baf19fa5e32265a307a1df5.jpg,лист без повреждений,healthy,3
dataset\train\images\0bff693d-bab0-4438-9dac-e4503e5e83bb___RS_HL-5741_JPG.rf.b24ea77d696725633f24102ecc8f83fd.jpg,лист без повреждений,healthy,3
dataset\train\images\0c2628d4-8d64-48a9-a157-19a9c902e304___RS_LB-4590-_JPG.rf.32c3423aefc9829a20f0449dca082734.jpg,"Плесневой налёт, окружающий коричневые участки",Late_blight,1
dataset\train\images\0c2628d4-8d64-48a9-a157-19a9c902e304___RS_LB-4590-_JPG.rf.b1ed8966777fa3d90b517863c14ca634.jpg,Листья с тёмными зонами и пушистым белым покрытием,Late_blight,1
dataset\train\images\0c2628d4-8d64-48a9-a157-19a9c902e304___RS_LB-4590-_JPG.rf.ff596f424e689c2069a1014cfa7e412a.jpg,Листья с тёмными зонами и пушистым белым покрытием,Late_blight,1
dataset\train\images\0c83302d-4233-4e98-8ecf-755a970495bb___RS_LB-4904-_JPG.rf.553fc2010561cc92da3f809054dc0f5d.jpg,Коричнево-чёрные пятна с расплывчатыми границами,Late_blight,1
dataset\train\images\0c83302d-4233-4e98-8ecf-755a970495bb___RS_LB-4904-_JPG.rf.63247dcca6576ca8c343cd9183250598.jpg,Белёсый налёт плесени на нижней стороне листьев,Late_blight,1
dataset\train\images\0c83302d-4233-4e98-8ecf-755a970495bb___RS_LB-4904-_JPG.rf.cfdbdd52d4590bc54b9aa9ecdd468373.jpg,"Плесневой налёт, окружающий коричневые участки",Late_blight,1
dataset\train\images\0ca762d0-3853-4018-896e-8f01e29cb144___RS_HL-7558_JPG.rf.45f3aabdbb4d7a88dd4cf78f6aeaebcd.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0ca762d0-3853-4018-896e-8f01e29cb144___RS_HL-7558_JPG.rf.b2eab4788ee60bc2efea95b2d4434059.jpg,лист без повреждений,healthy,3
dataset\train\images\0ca762d0-3853-4018-896e-8f01e29cb144___RS_HL-7558_JPG.rf.ddc2c0659760eb146623024c6c98cf3c.jpg,зеленый лист,healthy,3
dataset\train\images\0ce497e6-8184-4ef6-9a9f-c46b66c898c3___RS_HL-6036_JPG.rf.18b322197c430aa168178c7a5b6f2b57.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0ce497e6-8184-4ef6-9a9f-c46b66c898c3___RS_HL-6036_JPG.rf.bb033f9e192fab8a0e4b899dfc0f3795.jpg,лист без повреждений,healthy,3
dataset\train\images\0ce497e6-8184-4ef6-9a9f-c46b66c898c3___RS_HL-6036_JPG.rf.d2510a7f4df126ad33855f0eee6fb505.jpg,зеленый лист,healthy,3
dataset\train\images\0cefbd12-c195-40cd-b2d1-be0f9ee550b4___JR_FrgE_S-8762_270deg_JPG.rf.829a0bd02bbeed9ec2b7ae5d88d0683c.jpg,"Мягкие, увядающие участки вокруг тёмных пятен",black_rot,2
dataset\train\images\0cefbd12-c195-40cd-b2d1-be0f9ee550b4___JR_FrgE_S-8762_270deg_JPG.rf.cfbb02d4c74747aa5378179cd0f6530b.jpg,"Мягкие, увядающие участки вокруг тёмных пятен",black_rot,2
dataset\train\images\0cefbd12-c195-40cd-b2d1-be0f9ee550b4___JR_FrgE_S-8762_270deg_JPG.rf.ef0db94c8a104eb8ffb9a4f2610b9ac4.jpg,Тёмные пятна с неровными краями на поверхности листьев,black_rot,2
dataset\train\images\0cfa2ddf-56d9-4f62-89a4-f74e220f1859___RS_HL-6196_JPG.rf.a6c7cb6d4af0c9b1d9b3a3a694ea1d2a.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0cfa2ddf-56d9-4f62-89a4-f74e220f1859___RS_HL-6196_JPG.rf.d19c47c936f48790367754075c7021c8.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0cfa2ddf-56d9-4f62-89a4-f74e220f1859___RS_HL-6196_JPG.rf.e2674839eb36091fcd8d2b7b5d06c853.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\0d01a8a3-9faa-4a1f-afe0-be6bffa42056___RS_HL-6204_JPG.rf.2fb15c630069fc4d9a5efd52a7bfb72b.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0d01a8a3-9faa-4a1f-afe0-be6bffa42056___RS_HL-6204_JPG.rf.9a0887efa17fc478eec44bd9a7713822.jpg,зеленый лист,healthy,3
dataset\train\images\0d01a8a3-9faa-4a1f-afe0-be6bffa42056___RS_HL-6204_JPG.rf.db53d4f4644da1e96300240f22fe1ec3.jpg,зеленый лист,healthy,3
dataset\train\images\0d072074-0253-4a6b-a4cb-02f520c46942___RS_HL-5805_JPG.rf.1c7b0a716a6a0b56e34c2a73de83c51b.jpg,листья без признаков болезни,healthy,3
dataset\train\images\0d072074-0253-4a6b-a4cb-02f520c46942___RS_HL-5805_JPG.rf.bb4900e7f8f2203a0252bcb8440eb451.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0d072074-0253-4a6b-a4cb-02f520c46942___RS_HL-5805_JPG.rf.fac46c586c5b56488faf15a3ecda46b5.jpg,равномерный зеленый цвет листа,healthy,3
dataset\train\images\0d3fa72f-0441-45e8-b30f-a83904f48f99___RS_HL-6261_JPG.rf.1ba243bf11b7217807aad31824000e3a.jpg,лист без повреждений,healthy,3
dataset\train\images\0d3fa72f-0441-45e8-b30f-a83904f48f99___RS_HL-6261_JPG.rf.cae090b9e1fd8950c837de729660f3b8.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0d3fa72f-0441-45e8-b30f-a83904f48f99___RS_HL-6261_JPG.rf.dbc188e63a65ea9d016dff83a16be7d7.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0d8346e1-4624-4979-84e6-1353ca59007a___RS_LB-4079-_JPG.rf.219304e27a9a032f5dab5af3d042e756.jpg,"Плесневой налёт, окружающий коричневые участки",Late_blight,1
dataset\train\images\0d8346e1-4624-4979-84e6-1353ca59007a___RS_LB-4079-_JPG.rf.bf19a9c6dea763b5bf1729b3dd3d99ee.jpg,Коричнево-чёрные пятна с расплывчатыми границами,Late_blight,1
dataset\train\images\0d8346e1-4624-4979-84e6-1353ca59007a___RS_LB-4079-_JPG.rf.f7300c051b28c02d72a77a642df6461f.jpg,Поражения с бледно-зелёной зоной вокруг пятен,Late_blight,1
dataset\train\images\0d9ce901-3bec-4e03-84f5-28bad41b8a93___Rutg__Bact_S-2320-_JPG.rf.01d78a7ad5fe89597ea003de9d27599b.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\0d9ce901-3bec-4e03-84f5-28bad41b8a93___Rutg__Bact_S-2320-_JPG.rf.567bd0f74ec43b7dd8979b2a32c6b1da.jpg,Коричневато-чёрные отметины с маслянистым блеском,Bacterial_spot,0
dataset\train\images\0d9ce901-3bec-4e03-84f5-28bad41b8a93___Rutg__Bact_S-2320-_JPG.rf.90f4b4b0637f063aba5fd37a7f748588.jpg,Коричневато-чёрные отметины с маслянистым блеском,Bacterial_spot,0
dataset\train\images\0da48999-25da-4373-8277-3718a8203d0a___RS_HL-8012_JPG.rf.965d414b78a80ad900c67b20bffb6c2a.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0da48999-25da-4373-8277-3718a8203d0a___RS_HL-8012_JPG.rf.c177c74bca1dfb19690d914fca0f4279.jpg,листья без признаков болезни,healthy,3
dataset\train\images\0da48999-25da-4373-8277-3718a8203d0a___RS_HL-8012_JPG.rf.d0f258fe971bc1552afd32bbfc04ca91.jpg,здоровые зеленые листья,healthy,3
dataset\train\images\0e10ce50-cadb-403e-9d98-6e9b31bf7c24___Rutg__Bact_S-1791-_JPG.rf.15e0c6efc68c4cb3b844c0b6202e4d27.jpg,Небольшие тёмные поражения с жирной поверхностью,Bacterial_spot,0
dataset\train\images\0e10ce50-cadb-403e-9d98-6e9b31bf7c24___Rutg__Bact_S-1791-_JPG.rf.e36487e9ba2f662963e94ddb6d25bebb.jpg,Небольшие тёмные поражения с жирной поверхностью,Bacterial_spot,0
dataset\train\images\0e10ce50-cadb-403e-9d98-6e9b31bf7c24___Rutg__Bact_S-1791-_JPG.rf.ea0307b17c427b128dbc83e6ec91f7e6.jpg,Мелкие чёрные пятна с водянистой текстурой и неровными краями,Bacterial_spot,0
dataset\train\images\0e7f0484-16eb-4183-b702-0a5b4f94d015___RS_LB-4000-_JPG.rf.c68868cb0b7d199d4734d3983087d85e.jpg,Тёмные пятна с серовато-зелёным ореолом,Late_blight,1
dataset\train\images\0e7f0484-16eb-4183-b702-0a5b4f94d015___RS_LB-4000-_JPG.rf.e07c09b68ce8684644fe2ccdc78c3be1.jpg,Коричнево-чёрные пятна с расплывчатыми границами,Late_blight,1
dataset\train\images\0e7f0484-16eb-4183-b702-0a5b4f94d015___RS_LB-4000-_JPG.rf.f9c2b3c9b478d25822e42dee369b91c0.jpg,"Плесневой налёт, окружающий коричневые участки",Late_blight,1
dataset\train\images\0e857e3d-34ff-4549-b8ef-4d699aacb178___RS_HL-7511_JPG.rf.686d53b8e9b3828114ec7f1bf2c831a1.jpg,листья без пятен и налета,healthy,3
dataset\train\images\0e857e3d-34ff-4549-b8ef-4d699aacb178___RS_HL-7511_JPG.rf.a7fdbe97c685f69d15ef3856e4142c79.jpg,лист без повреждений,healthy,3
dataset\train\images\0e857e3d-34ff-4549-b8ef-4d699aacb178___RS_HL-7511_JPG.rf.b8b072520650882eebc0e9764041df2f.jpg,здоровые зеленые листья,healthy,3
